question,correct_answer,0,1,2,difficulty
(9321 + 5406 + 1001) ÷ (498 + 929 + 660) = ……… .,7.5,3.5,4.5,16.5,Hard
561204 × 58 = ? × 55555,586,606,646,716,Hard
"If 6 is 50% of a number, what is the number?",12,11,10,9,Hard
Area of a parallelogram whose base is 9 cm and height is 4 cm is ……….. square cm.,36,9,4,13,Hard
Andy read 4/5 th of a story book which has 100 pages. How many pages of the book is not yet read by Andy?,20,40,60,80,Hard
The quotient in a division sum is 403. The divisor is 100 and the remainder is 58. The dividend is ……… .,40358,40458,34058,43058,Hard
Which least number should be added to 2600 to make it a perfect square?,1,3,39,5,Hard
A long rope has to be cut to make 23 small pieces. If it is double folded to start with how many times does it need to be cut?,11,9,23,12,Hard
Ruby’s height is 5’2”. Ana is taller than Ruby but she is not taller than Pamela. Pamela is shorter than her cousin Ron but she is not shorter than Ruby. Who is the tallest in the group?,Ron,Ana,Pamela,Ruby,Hard
"A river flows west to east and on the way turns left and go in a semi-circle round a hillock, and then turns left at right-angles. In what direction is the river finally flowing?",East,North,South,West,Hard
"A clock seen through a mirror, shows quarter past three. What is the correct time shown by the clock?",8.45,9.15,3.15,9.45,Hard
A clock seen through a mirror shows 8 o’clock. What is the correct time?,4,8,12.2,12.4,Hard
"Tom was not at school on Saturday last. He was first absent for four days before that. Today is Monday, the 31st of October. When was Tom first absent? Give the day and date.","Tuesday, Oct. 25","Monday, Oct. 24","Wednesday, Oct. 26","Thursday, Oct. 27",Hard
"If the day tomorrow is Sunday, what was it yesterday?",Friday,Wednesday,Saturday,Sunday,Hard
A clock shows the time as 12.20. What is the angle the hour hand makes with the minutes hand?,110,120,130,140,Hard
What is the angle the hour hand of a clock makes with the minute hand when the time is 15.40?,130 and 75,110,120,125,Hard
78 ÷ 5 ÷ 0.5 = ?,31.2,15.6,20.4,7.78,Hard
"If ∆ means multiply the first number by second, then (3 ∆ 5) ∆ 2 = ?",30,50,20,10,Hard
"Nil is 23 years 1 month old, Shelly is 18 years 7 months old and Ben is as much older than Shelly is younger than Nil. The age of Ben is ……. .",20 years 10 months.,30 years 10 months.,50 years 10 months.,20 years 8 months.,Hard
If the number X 78 Y is divisible by 55 then value of X and Y are:,"4, 5","8, 5","4, 7","4, 8",Hard
"Fill in the blanks; 4, 6, 12, 14, 28, 30, (?)",60,62,34,32,Hard
"Three bells toll at the intervals of 10, 15 and 24 minutes. All the three begin to toll together at 8 A.M. At what time they will again toll together?",10,10.45,9.25,8.5,Hard
What temperature at Celsius scale is equal to 300°K.,27,300,30,45,Hard
"In your bookshelf, you have five favorite books. If you decide to arrange these five books in every possible combination and moved just one book in every half a minute. How much time it will take you to arrange?",1 hours,4 hours,5 hours,8 hours,Hard
Each edge of a cube is increased by 50%. What will be the percent increase in its volume?,237.5,133.25,150,50,Hard
The diagonals of a rhombus are 30 cm and 40 cm long. Find its side.,25,120,200,100,Hard
The number which is neither prime nor composite is ……. .,1,0,2,3,Hard
"The least number of five digits which is completely divisible by 39, is ………. .",10023,10014,10062,10021,Hard
"If ‘+’ means ‘×’, ‘-‘ means ‘+’, ‘×’ means ‘÷’ and ‘÷’ means ‘-‘ then find the value of; 6 – 9 + 8 × 3 ÷ 20 = ……. .",10,6,-2,12,Hard
What is 121 times 11?,1331,1133,1313,3131,Hard
"A car covers a distance of 200km in 2 hours 40 minutes, whereas a jeep covers the same distance in 2 hours. What is the ratio of their speed?",3:4,3:5,4:5,5:6,Hard
10001 – 101 = ?,9990,9900,990,1010,Hard
A number is greater than 3 but less than 8. Also the number is greater than 6 but less than 10. What is the number?,7,5,6,8,Hard
"In the following series a wrong number is given. Find out that number. 4, 5, 10, 18, 34, 59, 95",10,5,18,34,Hard
"A clock reads 4:30. If the minute hand points East, in what direction will the hour hand point?",North East,North,North West,South,Hard
The sum of squares of two numbers is 80 and the square of difference between the two numbers is 36. Find the product of two numbers.,22,11,33,26,Hard
The value of 1.07 × 65 + 1.07 × 26 + 1.07 × 9 is,,107,10.7,10.8,Hard
0.05 × 0.09 × 5 = ………. .,0.0225,0.025,0.225,0.005,Hard
(4)^2 + (3)^2 = (……..)^2.,5,14,25,7,Hard
18/√…….. = 2,81,36,18,6,Hard
90112 – 3123 = ……….. .,86989,87099,93235,96989,Hard
What should come in place of question mark (?) in the following question? 4 : 13 :: 64 : …….. .,208,198,168,228,Hard
Which number should come in place of both question mark (?)/81 = 144/(?),108,972,1296,11664,Hard
What percentage should be added to 40 to make it 50?,25,15,75,40,Hard
Which is the smallest fraction among the following?,2/3,6/7,6/5,3/4,Hard
4.16 × 0.75 = ………… .,3.12,0.0312,0.312,31.2,Hard
"If 5 boys take 7 hours to pack 35 cartoons, then how many boys can pack 65 cartoons in 3 hours?",None of the above,26,39,45,Hard
